Index,Hotel Name,Address
94,RIVERSIDE MAJESTIC HOTEL,"JALAN TUNKU ABDUL RAHMAN, 93756 KUCHING, Sarawak"
95,ROYALE CHULAN KUALA LUMPUR,"NO. 5, JALAN CONLAY, 50450 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
96,SHANGRI-LA HOTEL KUALA LUMPUR,"21, JALAN BUKIT BINTANG, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
97,SHANGRI-LA TANJUNG ARU,"LOT 20, JALAN ARU, Sabah"
98,SHANGRI-LA'S RASA RIA RESORT,"PANTAI DALIT, P.O. BOX 600, 89208 TUARAN, Sabah"
99,SHANGRI-LA'S RASA SAYANG RESORT,"BATU FERINGGI BEACH, 11100 BATU FERRINGHI, Pulau Pinang"
100,SHERATON IMPERIAL KUALA LUMPUR,"JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
101,SHERATON KUCHING HOTEL,"NO. 2, JALAN PANDUNGAN, 93100 KUCHING, Sarawak"
102,SHERATON PETALING JAYA HOTEL,"Jalan Utara C, Seksyen 52, 46200 Petaling Jaya, Selangor"
103,SOFITEL KUALA LUMPUR DAMANSARA,"NO. 6, JALAN DAMANLELA, BUKIT DAMANASARA, 50490 DAMANSARA, Wilayah Persekutuan Kuala Lumpur"
104,SUNWAY RESORT HOTEL,"1 PERSIARAN LAGOON, BANDAR SUNWAY, 47500 PETALING JAYA, Selangor"
105,TANJONG JARA RESORT,"8 MILES, OFF JALAN DUNGUN, 23000 DUNGUN, Terengganu"
106,TASIK VILLA INTERNATIONAL RESORT PORT DICKSON,"JALAN TASIK VILLA, PUSAT PELANCONGAN ANTARABANGSA KOTA LUKUT, 71010 PORT DICKSON, Negeri Sembilan"
107,THE CHATEAU SPA & ORGANIC WELLNESS RESORT,"KM 48, PERSIMPANGAN BERTINGKAT, LEBUHRAYA KARAK, 28750 BUKIT TINGGI, Pahang"
108,THE DATAI LANGKAWI,"JALAN TELUK DATAI, 07000 LANGKAWI, Kedah"
109,THE FACE SUITES,"1020, JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
110,THE GARDENS - A ST GILES SIGNATURE HOTEL & RESIDENCES,"MID VALLEY CITY, LINGKARAN SYED PUTRA, 59200 KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur"
111,THE GEORGE GEORGETOWN PENANG,"NO. 138, PENANG ROAD, 10100 GEORGETOWN, Pulau Pinang"
112,THE KASTURI RESORT,"KM 32.5, JLN KEMAMAN - KUANTAN CHERATING, 26080 KUANTAN, Pahang"
113,THE LIGHT HOTEL PENANG,"LEBUH TENGGIRI 2, BANDAR SEBERANG JAYA, 13700 SEBERANG JAYA, Pulau Pinang"
114,THE MAGELLAN SUTERA RESORT KOTA KINABALU,"1, SUTERA HARBOUR BOULEVARD, SUTERA HARBOUR, 88100 KOTA KINABALU, Sabah"
115,THE MILLEN HOTEL PENANG,"55, JALAN SULTAN AHMAD SHAH, 10050 GEORGETOWN PULAU PINANG, Pulau Pinang"
